,weights1,weights2,MAP
31,"[(5, 95)]","[(50, 50)]",[0.05928654010756781]
30,"[(5, 95)]","[(45, 55)]",[0.05928654010756781]
35,"[(5, 95)]","[(70, 30)]",[0.05928654010756781]
32,"[(5, 95)]","[(55, 45)]",[0.05928654010756781]
33,"[(5, 95)]","[(60, 40)]",[0.05928654010756781]
34,"[(5, 95)]","[(65, 35)]",[0.05928654010756781]
36,"[(5, 95)]","[(75, 25)]",[0.05928654010756781]
37,"[(5, 95)]","[(80, 20)]",[0.05928654010756781]
38,"[(5, 95)]","[(85, 15)]",[0.05928654010756781]
39,"[(5, 95)]","[(90, 10)]",[0.05928654010756781]
40,"[(5, 95)]","[(95, 5)]",[0.05928654010756781]
41,"[(5, 95)]","[(100, 0)]",[0.05928654010756781]
6,"[(0, 100)]","[(30, 70)]",[0.057644289146399866]
9,"[(0, 100)]","[(45, 55)]",[0.057644289146399866]
8,"[(0, 100)]","[(40, 60)]",[0.057644289146399866]
7,"[(0, 100)]","[(35, 65)]",[0.057644289146399866]
11,"[(0, 100)]","[(55, 45)]",[0.057644289146399866]
5,"[(0, 100)]","[(25, 75)]",[0.057644289146399866]
4,"[(0, 100)]","[(20, 80)]",[0.057644289146399866]
3,"[(0, 100)]","[(15, 85)]",[0.057644289146399866]
2,"[(0, 100)]","[(10, 90)]",[0.057644289146399866]
10,"[(0, 100)]","[(50, 50)]",[0.057644289146399866]
1,"[(0, 100)]","[(5, 95)]",[0.057644289146399866]
12,"[(0, 100)]","[(60, 40)]",[0.057644289146399866]
13,"[(0, 100)]","[(65, 35)]",[0.057644289146399866]
14,"[(0, 100)]","[(70, 30)]",[0.057644289146399866]
